calls_last_24h,calls_last_7d,avg_duration_seconds,ratio_missed_calls,is_in_contacts,label
6,6,313,0.12300329512374564,0,0
19,81,78,0.5586423964504253,1,1
14,90,370,0.34316735317265823,0,1
10,33,229,0.729173487549448,1,1
7,90,584,0.6522916485919397,1,1
6,16,594,0.8456043629899068,0,0
18,42,170,0.6924928266692253,1,1
10,58,98,0.42993107739014813,1,0
10,50,594,0.6729666223944324,0,0
3,53,598,0.2753811742554185,0,1
7,23,168,0.3063134987782127,1,1
2,24,498,0.7889851599207933,0,1
1,70,333,0.4464195164015822,1,0
11,51,390,0.7983803405183525,1,1
5,69,111,0.8224223736682784,0,1
1,87,503,0.8575623376612838,0,1
0,32,28,0.9166352358412073,0,1
11,48,463,0.43098522051329624,0,1
11,28,491,0.31886681832113883,1,0
16,62,406,0.5821987465941139,1,1
9,21,288,0.3711724234376276,0,1
15,25,374,0.601074166800233,0,1
14,27,340,0.7055858626438246,1,0
14,84,353,0.6884050184921369,1,1
18,48,464,0.37455288702012135,1,0
11,70,74,0.16686020169875282,1,0
19,80,85,0.43052933846220753,0,1
2,83,152,0.14259414408190874,1,1
4,48,482,0.8900970351838083,1,1
18,19,426,0.3458774607378574,0,0
6,85,314,0.15445974722332378,1,0
8,91,506,0.025447759905750877,1,0
6,62,300,0.6458223862864843,0,0
17,60,111,0.6369023174547432,0,0
3,48,276,0.34060416658129167,0,0
13,70,12,0.071711888847651,1,1
17,0,94,0.409628894895232,1,1
8,95,337,0.3112174950633936,0,0
1,12,459,0.6771206397350094,0,1
19,93,463,0.6057792494526903,1,1
14,86,230,0.36459372819754,0,0
6,50,163,0.2178925542549901,0,0
11,55,21,0.9880359661555919,0,1
7,82,142,0.45400162119611487,1,0
14,61,313,0.688274235780237,1,0
2,31,302,0.14055296757836078,1,1
13,29,309,0.4855896996593978,1,0
16,28,52,0.027536719869465487,1,1
3,48,352,0.50545511791045,1,1
17,44,335,0.9640174071177023,0,1
7,92,507,0.3842067129858002,1,1
3,29,373,0.03899601257491159,1,1
1,15,436,0.03095579091934353,0,0
5,39,30,0.3879867599468695,1,0
9,18,416,0.16002493646319405,1,0
3,17,345,0.023352096328185912,0,0
17,0,126,0.7562136139501768,0,1
11,77,133,0.4585230088818907,0,1
1,46,408,0.2892447719726545,1,0
9,65,60,0.9000831830164807,0,1
3,91,333,0.11613896020052561,1,0
13,93,150,0.9559188289553192,1,0
15,37,479,0.3139667173773528,1,0
14,50,343,0.8884036723086812,1,1
7,62,382,0.6029428764794615,0,1
13,3,573,0.8267073597414875,0,1
7,0,503,0.9840131632104643,1,1
15,7,548,0.2884054378187457,0,0
12,28,165,0.961135485407593,1,1
17,54,300,0.38948189490242036,1,1
14,2,153,0.3855119047369223,1,1
12,31,115,0.3403871042545057,0,0
8,9,429,0.5414076073475852,1,0
14,73,11,0.1541450431784871,1,1
12,82,598,0.5537114853580112,0,1
0,33,99,0.541704812410004,0,1
6,96,354,0.76190181260487,0,1
8,86,359,0.8336499619375856,0,0
0,54,468,0.44044135031242404,1,1
11,91,272,0.30233324935149375,0,1
7,31,360,0.25933489731709447,1,1
10,49,117,0.19462383670487193,0,0
18,6,595,0.05764758219902488,0,0
16,92,48,0.34244797883471334,0,1
7,7,168,0.27024769213078326,0,1
2,64,592,0.9664173858664074,0,1
2,56,321,0.5577088262500439,0,1
0,66,250,0.34727703903050755,1,1
4,87,454,0.580467600993696,0,0
9,86,307,0.1391967013456955,0,0
6,58,45,0.4440437492022029,0,0
8,71,93,0.6262343214210638,0,1
6,53,461,0.4888978317924514,1,0
8,66,394,0.40177880065432425,0,0
7,50,181,0.9938483888996982,0,0
11,96,385,0.880314762148927,0,1
1,91,371,0.6234059581594401,0,1
0,7,568,0.5693773611822828,1,0
15,33,150,0.620660479824584,0,1
4,34,127,0.20131210782243325,1,0
2,95,286,0.3951377432643186,0,0
11,87,229,0.03945953289089932,1,0
7,77,35,0.47554603748682667,1,0
2,31,530,0.5430245839576632,0,1
0,45,19,0.2277497361032096,0,1
2,15,387,0.9640288471655137,1,1
4,67,593,0.909454610937242,1,1
14,36,161,0.7221432354559059,0,0
13,53,58,0.5333866287653626,1,1
2,84,163,0.869969159647685,1,0
0,13,302,0.1306523438234629,1,1
4,94,589,0.790509794274885,0,1
13,54,59,0.1248208139668483,1,1
6,47,540,0.7942106625494054,1,0
8,81,69,0.27576756825135695,1,0
14,6,176,0.8770905810181889,0,0
14,73,211,0.9440420938253978,0,0
9,6,155,0.14879596940511564,1,1
12,32,448,0.4626756050653935,0,0
18,22,251,0.9809873781626851,1,0
6,84,590,0.4834074359731466,0,1
16,18,570,0.8635475225145451,0,1
19,18,492,0.5887315221313199,1,0
3,35,117,0.37532990791960186,0,1
4,28,235,0.2857835555258702,0,0
6,59,441,0.20322309108608727,0,1
12,81,428,0.7617981913776972,1,0
14,1,464,0.3865405068230279,0,0
10,0,169,0.5112754622007512,0,0
3,46,532,0.4923254800011819,1,0
12,68,599,0.5772790292331312,0,0
6,19,86,0.8655771456245522,0,1
18,10,518,0.9807393435834294,0,0
1,1,450,0.40758420857381694,0,0
9,66,263,0.8275189221063031,0,0
12,86,329,0.7645277946547177,1,0
5,11,272,0.5735289514555733,1,0
11,19,563,0.9560471436119331,0,1
11,4,383,0.20047451552840279,0,1
19,36,176,0.10926421030962141,0,0
10,37,468,0.8539619669554221,1,1
6,93,289,0.4391498166337483,1,0
0,8,311,0.8469688542070605,0,1
0,97,540,0.8930902051954149,0,1
19,52,589,0.06245759361907144,1,0
12,43,227,0.8834647629860607,0,1
8,98,111,0.4483190553694222,1,1
2,85,563,0.5104324890042322,1,0
6,23,297,0.6265925110932102,0,0
5,80,176,0.9263826067300868,1,1
7,73,45,0.01911609442976403,0,1
8,29,362,0.4768434683178171,0,1
4,58,82,0.6877220424305607,0,0
0,86,362,0.7227069576982285,0,1
18,95,79,0.692532431537108,0,1
9,80,434,0.13443512940812186,0,1
11,80,570,0.29939558837168123,1,0
14,13,526,0.35871552541701346,1,0
8,8,437,0.804437207679505,1,0
19,39,548,0.278759872414553,1,0
16,65,169,0.21070496386720317,0,1
16,24,158,0.9574480190380962,1,0
19,72,239,0.0088632851134689,1,1
11,21,571,0.9978208556819782,1,1
6,3,76,0.6768212988573956,0,1
1,25,390,0.8284692994491171,1,1
2,57,67,0.29461939634619316,0,0
16,28,268,0.014315277667059978,1,0
4,97,351,0.73786951856153,0,0
16,86,139,0.8341445970006758,0,0
16,36,181,0.7404761319535191,1,0
16,74,218,0.1428502873008386,0,1
1,69,363,0.7534279222569691,0,0
1,17,480,0.768922782107641,1,0
4,84,125,0.6585405156700549,1,0
0,41,273,0.7661159327955862,1,0
0,99,451,0.8459214396777321,0,1
18,40,557,0.6136041142374584,0,1
1,37,462,0.08860471396967906,0,1
11,33,486,0.48762780966721087,1,1
5,16,296,0.07764933467160506,0,1
3,36,312,0.40754303103243084,0,0
10,24,320,0.40710648912562764,0,1
16,75,217,0.06600984414024158,0,1
5,86,455,0.3488205339694793,0,1
4,85,64,0.11099809879131484,0,0
19,84,21,0.8082352100092222,0,0
1,26,409,0.9476880259644708,1,1
5,56,524,0.0723164752579386,1,0
10,30,551,0.9551152072917014,1,0
15,5,246,0.5225765993367452,0,1
15,90,288,0.2995656779538739,0,0
0,39,357,0.07686207527616351,1,0
8,97,113,0.5006242680704178,0,0
5,11,526,0.7945155444907487,1,1
15,52,257,0.7070864772666982,0,1
2,70,373,0.05022601146397376,0,1
19,9,330,0.07290183536790351,1,0
3,44,295,0.4028732826326371,1,1
18,16,158,0.2952904940479433,1,0
2,25,93,0.23238432305604784,1,0
18,84,415,0.2810044989087136,1,0
19,91,465,0.8034827432968846,0,1
6,61,170,0.9292280536318539,0,1
19,45,469,0.4051026945275664,0,1
8,63,559,0.9061110021324971,1,1
0,1,509,0.32149570124788196,1,0
7,53,518,0.4764369863437916,1,1
6,64,490,0.22602899781599972,1,0
17,50,123,0.640476042175844,1,1
7,52,587,0.9789811151748089,1,1
0,35,370,0.6034930960433786,0,1
10,25,350,0.35781408411354887,0,0
17,28,458,0.6478174459905284,0,0
9,20,189,0.12292067846538757,0,0
2,10,416,0.8886590802653986,0,0
6,39,205,0.5030839507798364,1,0
15,10,475,0.44934974203964206,1,1
15,35,320,0.5858647884535192,1,0
19,58,271,0.6247838627894025,1,0
16,38,428,0.07177580622651303,1,0
1,98,415,0.6826172212234024,1,0
0,53,152,0.24193168031552958,0,1
15,97,351,0.7139526325065898,1,0
11,54,325,0.8225347943841967,1,1
4,23,110,0.8039585075525203,1,1
4,21,253,0.5525009674078891,1,1
8,68,499,0.5201698923107512,0,0
8,55,21,0.14287596133941172,0,1
2,32,248,0.7753461504031356,1,0
18,35,570,0.27140938044671437,0,0
15,19,51,0.49669542281794654,0,0
15,82,438,0.2842740929275167,1,0
2,98,167,0.13382836299969314,1,0
19,80,225,0.6295576968917366,1,1
0,61,471,0.05433203482290383,1,1
19,97,143,0.7486452341262,1,0
10,72,76,0.31758679526111666,0,1
16,25,16,0.00013469300448532007,1,0
7,65,535,0.5111291392372298,1,1
3,72,82,0.046851908527603126,1,1
5,72,408,0.27616955782089947,0,1
7,39,414,0.7069764874557162,1,1
19,16,587,0.06268962162186587,1,1
2,0,139,0.8393384923560023,1,0
15,88,475,0.003819922658583108,0,0
2,60,215,0.24682386920190225,1,1
17,42,275,0.7409040561520714,1,0
13,41,546,0.3162701497293068,1,1
17,24,262,0.10189238806601353,0,0
1,38,298,0.3602339188004279,1,1
2,34,173,0.27039328638452553,1,1
15,2,104,0.8427119021605549,1,1
8,43,119,0.31334791758514313,0,0
3,50,345,0.7889324717760072,1,0
0,93,247,0.8918721448107347,1,1
3,97,390,0.43381741957652953,1,1
0,11,445,0.909943143854392,0,0
13,18,492,0.37731805396319285,0,0
15,43,34,0.9640784164901082,1,0
19,58,126,0.08928952452557293,0,0
7,48,491,0.6870192665032427,0,0
6,60,401,0.49381404045692867,0,1
2,16,546,0.38764880545564706,1,0
16,73,88,0.6327118787486009,1,1
0,56,589,0.7038570916343312,0,1
15,54,182,0.004363269650309087,0,0
11,46,21,0.16695308874719872,0,0
18,11,137,0.7130460506343187,1,1
13,61,101,0.6663854135782065,1,0
5,79,552,0.9660475051286772,0,1
5,87,541,0.761037790250783,0,0
12,82,456,0.950772707731338,0,0
18,7,399,0.702540501534807,0,0
7,94,52,0.29805220863944315,1,1
1,20,263,0.10536492225085647,0,0
0,80,139,0.7818238633449356,1,1
14,86,69,0.6441492214759159,0,0
0,79,476,0.04818601239329623,0,1
4,69,296,0.36005046590097833,0,0
15,71,526,0.9567998154842862,0,1
18,24,476,0.5004011457102012,0,1
3,81,354,0.43272913601970464,1,1
2,88,391,0.457699605159294,0,1
16,11,262,0.20888272400516372,0,1
16,14,65,0.3687071708647952,0,1
11,58,472,0.3698132559871766,1,0
13,25,466,0.0523550201874724,1,1
5,25,92,0.7675676285179183,1,1
2,46,108,0.416504431903879,1,1
8,31,158,0.8221798868164233,0,0
4,9,338,0.8503480011198954,0,0
16,15,165,0.21199405469865806,0,0
13,70,199,0.6573534821701286,1,1
2,16,503,0.4722818041629817,0,0
0,22,272,0.8801567379214851,0,0
19,25,89,0.21574067917645412,1,1
0,84,409,0.6778132003100442,1,1
2,85,269,0.6077521222527226,1,0
17,6,561,0.2953014775718328,0,1
9,13,110,0.1366009036511726,0,1
2,78,368,0.6516397604772766,1,1
7,6,389,0.7385974581323307,0,1
13,8,230,0.31562734376335,1,0
17,47,429,0.6448326040223138,1,1
14,71,133,0.39513090761150327,0,0
1,58,431,0.7132068832826177,1,0
9,86,240,0.1992152748940531,1,0
1,92,72,0.8902150026361744,1,0
16,81,494,0.28740959646557973,0,1
7,94,583,0.3677859877561529,1,1
0,93,492,0.058091952080349785,1,1
8,38,528,0.1115122123212764,1,0
10,98,164,0.5158619027123281,1,0
15,17,101,0.2675926767279715,1,0
6,58,535,0.8354802257421944,1,1
9,16,464,0.014693388654953843,1,0
2,13,519,0.3790940486719362,0,1
17,30,192,0.3373455467690927,0,1
12,23,395,0.019327630917601035,1,1
6,98,583,0.12436839900051022,0,1
3,59,414,0.41364267491863527,0,0
12,44,255,0.49286458444744663,1,1
19,97,480,0.4042897472548691,0,0
0,2,432,0.5309376784120938,1,1
7,36,74,0.5951316749056815,1,0
13,42,22,0.00992382112783563,1,0
15,39,222,0.4640951594535039,1,1
13,89,251,0.9634992408875883,1,1
11,54,502,0.5190322801295487,0,1
18,86,222,0.6775422674589532,1,0
14,38,347,0.3118638579168832,0,1
1,14,182,0.7739913781527625,1,1
1,3,173,0.7729214818761151,1,0
18,92,474,0.521296047654139,1,1
16,85,506,0.9760138232792136,0,0
19,24,404,0.12555021476265338,1,1
9,12,317,0.016947664889580993,1,0
